FID,Shape_Leng,Shape_Area,Count_,Count_1,landslide,prob
6740,4550,390000,0,0,0,0.0551301
6741,2450,145000,0,0,0,0.0249256
6742,1400,72500,0,0,0,0.0493455
6743,4100,286250,0,0,0,0.086351
6744,4400,218750,0,0,0,0.0407704
6745,4700,301875,0,0,0,0.0451396
6746,1600,76250,0,0,0,0.1567
6747,5100,336250,0,0,0,0.267002
6748,2450,183125,0,0,0,0.0338849
6749,4550,343750,0,0,0,0.0318203
6750,3200,280000,0,0,0,0.0821372
6751,3000,227500,0,0,0,0.0357173
6752,1050,26875,0,0,0,0.0458345
6753,2800,151875,0,0,0,0.121986
6754,2350,101250,0,0,0,0.0809027
6755,4550,440625,0,0,0,0.163579
6756,1800,50625,0,0,0,0.0813218
6757,6500,506250,0,0,0,0.148417
6758,1750,48125,0,0,0,0.0605242
6759,2650,215625,0,0,0,0.0186475
6760,3850,153125,0,0,0,0.0707155
6761,3000,181875,0,0,0,0.0557392
6762,3700,213750,0,0,0,0.222695
6763,1450,59375,0,0,0,0.0326478
6764,2700,110000,0,0,0,0.440178
6765,2300,110000,0,0,0,0.231886
6766,900,22500,0,0,0,0.0343177
6767,3700,333750,0,0,0,0.0471744
6768,5950,386250,0,0,0,0.292882
6769,4550,263125,0,0,0,0.0734578
6770,3550,174375,0,0,0,0.1538
6771,3450,143125,0,0,0,0.474003
6772,2800,125625,0,0,0,0.323974
6773,4150,380000,0,0,0,0.177874
6774,3600,245000,0,0,0,0.146138
6775,4450,319375,0,0,0,0.0302938
6776,3100,172500,0,0,0,0.463314
6777,3050,140625,0,0,0,0.212282
6778,3350,283750,0,0,0,0.201002
6779,2400,90625,0,0,0,0.158027
6780,3650,212500,0,0,0,0.261885
6781,2800,201250,0,0,0,0.0106051
6782,3750,276875,0,0,0,0.0863603
6783,2400,65000,0,0,0,0.23047
6784,3950,238750,0,0,0,0.217684
6785,2650,118750,0,0,0,0.0693273
6786,2050,83125,0,0,0,0.0445426
6787,2750,178125,0,0,0,0.0131306
6788,2400,152500,0,0,0,0.011493
6789,2000,91875,0,0,0,0.0544412
6790,2500,167500,0,0,0,0.137643
6791,5450,503750,0,0,0,0.465979
6792,1050,38750,0,0,0,0.018053
6793,4350,405000,0,0,0,0.0941014
6794,900,33125,0,0,0,0.0103493
6795,3750,177500,0,0,0,0.131445
6796,2300,69375,0,0,0,0.0770476
6797,3800,363750,0,0,0,0.612819
6798,2100,55000,0,0,0,0.0808655
6799,3100,270625,0,0,0,0.13223
6800,5650,543750,0,0,0,0.0224338
6801,5350,280625,0,0,0,0.0690243
6802,4800,383750,0,0,0,0.15846
6803,4700,276250,0,0,0,0.258237
6804,1750,100625,0,0,0,0.0305318
6805,7400,496875,0,0,0,0.478095
6806,1400,46250,0,0,0,0.0346773
6807,1300,30000,0,0,0,0.0372535
6808,2600,152500,0,0,0,0.0170171
6809,3350,138750,0,0,0,0.122999
6810,7350,506875,0,0,0,0.291625
6811,2450,165000,0,0,0,0.0666296
6812,2650,102500,0,0,0,0.0540256
6813,2050,119375,0,0,0,0.019853
6814,1950,88125,0,0,0,0.0198959
6815,2700,111875,0,0,0,0.0910516
6816,3200,261875,0,0,0,0.0389819
6817,3650,292500,0,0,0,0.0647618
6818,7100,379375,0,0,0,0.35186
6819,2500,113750,0,0,0,0.0640443
6820,2700,166875,0,0,0,0.0599246
6821,2050,43125,0,0,0,0.509729
6822,4000,300625,0,0,0,0.0553361
6823,2450,165625,0,0,0,0.174253
6824,4050,300000,0,0,0,0.0968226
6825,2900,124375,0,0,0,0.1059
6826,3500,328750,0,0,0,0.0176014
6827,800,21875,0,0,0,0.484255
6828,3350,181875,0,0,0,0.328152
6829,4000,339375,0,0,0,0.0734522
6830,2600,115625,0,0,0,0.0130083
6831,3700,274375,0,0,0,0.326968
6832,2400,71250,0,0,0,0.174054
6833,6250,450625,0,0,0,0.185836
6834,3150,264375,0,0,0,0.0599056
6835,2400,105625,0,0,0,0.126032
6836,4950,280625,0,0,0,0.145164
6837,2100,116250,0,0,0,0.126538
6838,2700,178125,0,0,0,0.0373876
6839,3800,212500,0,0,0,0.0186558
6840,4650,253125,0,0,0,0.361618
6841,7250,565625,0,0,0,0.381139
6842,3650,166250,0,0,0,0.137149
6843,3950,215000,0,0,0,0.515851
6844,3150,275000,0,0,0,0.245826
6845,2850,241875,0,0,0,0.0692855
6846,2150,105625,0,0,0,0.126839
6847,4750,298125,0,0,0,0.167234
6848,3150,153125,0,0,0,0.158873
6849,2500,170000,0,0,0,0.0814842
6850,2400,110625,0,0,0,0.0396675
6851,3200,241875,0,0,0,0.0364018
6852,3100,219375,0,0,0,0.0401905
6853,2850,158125,0,0,0,0.033506
6854,2500,128750,0,0,0,0.513429
6855,3100,203125,0,0,0,0.246354
6856,5100,280000,0,0,0,0.245283
6857,3250,254375,0,0,0,0.032915
6858,2400,87500,0,0,0,0.172343
6859,8000,501875,0,0,0,0.205126
6860,7700,595000,0,0,0,0.0979104
6861,1200,48125,0,0,0,0.0114981
6862,6050,638750,0,0,0,0.12353
6863,1150,35625,0,0,0,0.052059
6864,2100,145000,0,0,0,0.0387609
6865,5050,286250,0,0,0,0.363846
6866,3350,156875,0,0,0,0.558316
6867,2550,95000,0,0,0,0.198383
6868,5300,293125,0,0,0,0.169545
6869,4900,238750,0,0,0,0.106516
6870,4200,307500,0,0,0,0.0577285
6871,3800,349375,0,0,0,0.1489
6872,6400,518750,0,0,0,0.454495
6873,2400,177500,0,0,0,0.0598806
6874,2850,201875,0,0,0,0.0250015
6875,3300,149375,0,0,0,0.160163
6876,6400,643125,0,0,0,0.370227
6877,2850,231250,0,0,0,0.149996
6878,2400,175000,0,0,0,0.0284704
6879,3750,272500,0,0,0,0.0213843
6880,3600,363125,0,0,0,0.0926631
6881,1000,38125,0,0,0,0.0238042
6882,800,21875,0,0,0,0.0102954
6883,3350,279375,0,0,0,0.0871431
6884,1200,36250,0,0,0,0.0370143
6885,1650,74375,0,0,0,0.0503025
6886,1600,54375,0,0,0,0.0620744
6887,2000,111875,0,0,0,0.812722
6888,1900,111875,0,0,0,0.0342946
6889,4300,295000,0,0,0,0.0622721
6890,2950,186875,0,0,0,0.135206
6891,3300,253125,0,0,0,0.0368436
6892,2700,220625,0,0,0,0.00740606
6893,2400,140625,0,0,0,0.028753
6894,3400,308125,0,0,0,0.0103197
6895,1450,49375,0,0,0,0.079086
6896,3650,378125,0,0,0,0.26746
6897,3400,221875,0,0,0,0.267751
6898,1550,68750,0,0,0,0.0186796
6899,2600,203750,0,0,0,0.0536694
6900,2250,186250,0,0,0,0.0120224
6901,4400,363125,0,0,0,0.773441
6902,3700,268750,0,0,0,0.31299
6903,4100,441250,0,0,0,0.0254346
6904,3550,125625,0,0,0,0.328055
6905,4200,187500,0,0,0,0.233827
6906,2400,158125,0,0,0,0.300453
6907,2500,96250,0,0,0,0.356095
6908,2950,245625,0,0,0,0.240649
6909,6700,432500,0,0,0,0.248072
6910,800,26875,0,0,0,0.0113469
6911,1650,88125,0,0,0,0.339892
6912,2900,120625,0,0,0,0.0341492
6913,5500,322500,0,0,0,0.563747
6914,3450,117500,0,0,0,0.574706
6915,2800,153125,0,0,0,0.731859
6916,3000,146875,0,0,0,0.161637
6917,4300,442500,0,0,0,0.0425013
6918,3250,167500,0,0,0,0.074976
6919,1500,63125,0,0,0,0.0227016
6920,1650,59375,0,0,0,0.0283912
6921,3500,254375,0,0,0,0.0513963
6922,5200,543750,0,0,0,0.688234
6923,4750,272500,0,0,0,0.216307
6924,3400,251250,0,0,0,0.0814647
6925,3000,228125,0,0,0,0.0453016
6926,4100,374375,0,0,0,0.0194656
6927,1400,75625,0,0,0,0.0382611
6928,3050,171250,0,0,0,0.0983413
6929,4000,361875,0,0,0,0.0743542
6930,2900,236250,0,0,0,0.0210971
6931,2400,124375,0,0,0,0.712397
6932,2000,85625,0,0,0,0.0237391
6933,750,18125,0,0,0,0.0370055
6934,1350,48750,0,0,0,0.0255948
6935,1550,58125,0,0,0,0.164864
6936,3250,263125,0,0,0,0.0188607
6937,1000,29375,0,0,0,0.0317752
6938,2500,143750,0,0,0,0.0267737
6939,2900,150625,0,0,0,0.0514969
6940,3750,241875,0,0,0,0.0247744
6941,3850,153125,0,0,0,0.204852
6942,3700,263750,0,0,0,0.0617165
6943,2300,112500,0,0,0,0.0128585
6944,4200,381250,0,0,0,0.3636
6945,2400,119375,0,0,0,0.0585353
6946,1200,44375,0,0,0,0.0156371
6947,1300,40000,0,0,0,0.0646979
6948,2650,187500,0,0,0,0.00944708
6949,2550,244375,0,0,0,0.0179647
6950,1150,42500,0,0,0,0.0184265
6951,2150,123125,0,0,0,0.0829394
6952,2700,181250,0,0,0,0.0478441
6953,5050,261875,0,0,0,0.561212
6954,3800,298750,0,0,0,0.330005
6955,2050,59375,0,0,0,0.180115
6956,3250,190000,0,0,0,0.554789
6957,4300,391250,0,0,0,0.124173
6958,1600,81875,0,0,0,0.0365101
6959,2250,107500,0,0,0,0.0853338
6960,3950,481250,0,0,0,0.0202705
6961,4050,352500,0,0,0,0.174022
6962,2600,104375,0,0,0,0.226494
6963,1600,68750,0,0,0,0.02988
6964,3050,232500,0,0,0,0.253646
6965,3950,239375,0,0,0,0.346469
6966,4050,204375,0,0,0,0.0364463
6967,4000,300000,0,0,0,0.561363
6968,2950,249375,0,0,0,0.120637
6969,1950,85625,0,0,0,0.0588633
6970,4400,429375,0,0,0,0.0678685
6971,800,18125,0,0,0,0.0381387
6972,6150,261875,0,0,0,0.491292
6973,2700,181250,0,0,0,0.011302
6974,2050,138125,0,0,0,0.02651
6975,4750,560000,0,0,0,0.320874
6976,4350,503750,0,0,0,0.281333
6977,2650,162500,0,0,0,0.0712837
6978,1350,48125,0,0,0,0.0319266
6979,4600,326250,0,0,0,0.711039
6980,5700,517500,0,0,0,0.677747
6981,4800,578125,0,0,0,0.306803
6982,2650,195000,0,0,0,0.0682349
6983,3400,210625,0,0,0,0.130688
6984,1200,30000,0,0,0,0.0344903
6985,4900,263750,0,0,0,0.284592
6986,3750,225625,0,0,0,0.0572117
6987,3300,238750,0,0,0,0.0645709
6988,3500,331250,0,0,0,0.0358867
6989,3950,205000,0,0,0,0.425247
6990,2900,224375,0,0,0,0.0182624
6991,4300,257500,0,0,0,0.0745111
6992,1150,40625,0,0,0,0.0132104
6993,1100,28750,0,0,0,0.0330636
6994,4350,384375,0,0,0,0.0200201
6995,4600,452500,0,0,0,0.111717
6996,5750,650625,0,0,0,0.409401
6997,2900,171875,0,0,0,0.0821905
6998,3450,223750,0,0,0,0.0399986
6999,3700,133750,0,0,0,0.283603
7000,3900,361875,0,0,0,0.0237767
7001,2400,178125,0,0,0,0.339297
7002,2800,146250,0,0,0,0.122873
7003,2550,121875,0,0,0,0.473069
7004,4000,382500,0,0,0,0.0903424
7005,2400,138125,0,0,0,0.145345
7006,3700,290000,0,0,0,0.177648
7007,2650,184375,0,0,0,0.0237494
7008,4400,460625,0,0,0,0.0473432
7009,2900,171875,0,0,0,0.0273303
7010,2650,222500,0,0,0,0.0479898
7011,2800,200000,0,0,0,0.0425465
7012,5000,331875,0,0,0,0.297371
7013,5600,636875,0,0,0,0.0614277
7014,4100,285625,0,0,0,0.44258
7015,3500,171250,0,0,0,0.188212
7016,5300,285625,0,0,0,0.709259
7017,1900,97500,0,0,0,0.024664
7018,2500,98750,0,0,0,0.344692
7019,4650,330000,0,0,0,0.404971
7020,3350,145625,0,0,0,0.0719665
7021,3850,306875,0,0,0,0.023246
7022,5000,350625,0,0,0,0.0784693
7023,2250,83750,0,0,0,0.147549
7024,3750,337500,0,0,0,0.271972
7025,3150,151875,0,0,0,0.108916
7026,1050,33125,0,0,0,0.0282565
7027,800,20625,0,0,0,0.0420522
7028,3500,218750,0,0,0,0.0350049
