,altitude,aspect,fault,ndvi,plan,profile,rainfall,river,road,slope,spi,sti,twi,soil_envi,landuse_envi,lithology_envi,len_x,len_y,Shape_Leng,Shape_Area
22,461.2572707,246.1901898,9277.580192,0.310896938,0.028972605,0.066186033,992.4653659,129.1458026,400.7523086,30.1802121,33.12790034,15.25160591,4.606634431,2,4,11,23,38,3250,279375
23,792.0789916,148.3144061,10931.15433,0.12948724,0.059478928,0.094530752,995.2049693,366.873824,1797.710382,26.77876989,27.21459247,13.40080048,4.73268044,3,5,4,29,71,5850,371875
24,409.4722222,153.3355419,6948.986093,0.247202714,0.029027759,-0.025804229,993.8159903,281.4214433,675.7684024,18.1320486,17.07819858,8.486496483,5.199076881,2,4,11,48,36,4500,677500
25,415.2027491,129.38748,6392.639826,0.093134614,0.083905151,0.022762276,994.0952727,137.2478028,180.6865553,16.47032499,15.32242799,7.603714546,5.350950484,2,3,11,31,29,3250,181875
26,439.6122449,245.8246289,9399.089724,0.295216418,0.072695736,0.329171353,992.40838,62.13375482,631.6230438,31.06279026,34.80346606,15.66995886,4.550788758,2,4,11,10,10,1000,30625
27,452.1767956,256.2258033,6457.56763,0.13242839,-0.03706506,0.007248941,994.8710415,273.7805844,272.8370793,20.37788801,19.18910501,9.716377772,5.028259401,2,4,11,53,59,5700,810000
28,479,167.5280379,9771.910389,0.325318594,0.121453341,0.116197942,992.9056876,154.2533984,1003.575459,29.32641581,30.01333031,14.82339958,4.571511865,2,4,11,12,13,1300,52500
29,492.4349315,134.3879947,9775.603797,0.251335021,0.089843493,0.065291376,992.9724123,195.2628055,1023.229211,24.2961471,23.60970324,11.94031936,4.80346118,2,4,11,23,23,2500,182500
30,548.288,92.1047483,7426.284766,0.152752195,0.02161726,0.022381504,992.8932004,201.7046769,1775.120038,21.67518182,20.48658695,10.4153565,4.921546018,2,4,11,31,42,3700,312500
31,453.5362319,307.9755768,5901.708701,0.120483474,0.053038017,-0.106961986,993.90212,175.1132867,153.0873788,19.50284661,18.09186744,9.183494389,5.060949968,2,3,5,5,20,1350,43125
32,465.65,211.6080204,6002.709985,0.046635298,0.021566582,0.126413125,994.0433868,257.5621497,196.3956591,16.2401841,14.92902866,7.370228038,5.267995244,2,3,5,13,42,3050,100000
33,713.0273973,109.4462937,7482.09078,0.047195796,0.003687061,0.006898974,992.0059806,361.2365645,1911.589238,19.83013158,18.73511851,9.444252123,5.081165967,2,3,5,12,26,2050,91250
34,560.9669604,101.2701913,8526.026199,0.217725573,0.004905562,0.030955793,992.6714081,535.6892521,888.3636176,25.38584713,25.33809014,12.55597604,4.769911001,2,4,11,63,25,5000,322500
35,664.5829384,233.9538524,8238.4924,0.205242317,-0.001021178,-0.093182479,992.1816421,707.9441818,1039.755363,25.8259024,28.09047969,12.75256026,4.827117094,2,4,11,49,14,3450,131875
36,419.86,230.3856317,5854.787734,0.15015044,0.075254659,0.064149552,993.519071,159.5394831,42.99936867,24.66332953,23.74634381,12.15305009,4.767118587,2,3,5,8,10,900,31250
37,464.9197861,241.1381034,9449.885246,0.304926963,0.081153121,0.015246101,992.3847268,93.45995036,702.3278221,26.62655035,27.8045451,13.32648595,4.794519637,2,4,11,23,18,2100,116875
38,525.4934641,180.6474757,7169.989928,0.179067704,0.07807242,0.065154208,992.8275617,88.37517945,1520.88647,24.19673731,23.75681381,11.89159563,4.824356929,2,4,5,40,28,3550,191250
39,654.7015177,127.3716881,10369.19372,0.239426789,0.011904681,0.000642615,994.0160443,300.2097684,1310.498333,27.5437867,27.79205215,13.82141079,4.670296786,3,4,4,30,45,4300,370625
40,651.1620112,177.8960629,8881.157003,0.263628167,0.052038611,0.048797308,991.910248,470.3090016,131.7987795,28.95389493,29.64107833,14.62283237,4.602340144,2,4,11,36,17,3250,111875
41,688.1480769,276.2321022,8739.362275,0.269774436,0.020292381,0.030461287,991.8553295,531.0724512,218.257278,35.81280223,39.6758779,18.45752662,4.303359363,2,4,11,39,22,3450,325000
42,629.8644501,164.5550219,10068.80186,0.295158169,0.013700206,0.027744783,993.4260966,368.6591198,973.8908798,22.67911232,22.03908379,11.06371015,4.928126428,3,4,11,23,45,3600,244375
43,660.9225806,163.4517425,8099.653838,0.209375295,0.005262223,-0.01389375,992.2989952,588.0549244,1271.924967,26.44350544,26.90767051,13.20890307,4.757975504,2,4,11,62,23,4900,484375
44,638.9484241,236.2450533,7986.141246,0.173534793,-0.05576571,0.023656212,992.4369976,499.7689276,1478.846567,23.74209834,23.10937648,11.58712485,4.825376712,2,4,11,63,16,5250,218125
45,804.2375479,86.49681904,8474.957158,0.259855715,0.02121219,-0.050674498,991.6213,749.4652311,509.5403144,31.22687123,33.09780864,15.83486103,4.473172634,2,4,11,44,14,3650,163125
46,922.6666667,151.3385922,11199.27766,0.096282901,-0.081383869,-0.047912839,997.114564,630.5600898,2445.88737,24.72776564,24.69918674,12.25408834,4.860676894,3,5,4,45,39,4500,563125
47,933.2556391,141.8563848,10793.45559,0.154167366,0.002919174,-0.035195668,997.5117176,613.3010019,2591.264811,29.01265245,29.44841864,14.645061,4.582652095,3,5,4,25,44,3650,213125
48,797.5802998,55.93178835,7290.813332,0.106575951,-0.043402739,-0.045090266,991.4582152,476.7859332,1937.346961,25.64884081,24.91488098,12.70642879,4.720162206,2,3,5,19,31,2750,291875
