,altitude,aspect,fault,ndvi,plan,profile,rainfall,river,road,slope,spi,sti,twi,soil_0,landuse_0,lithology_0,len_x,len_y,Shape_Leng,Shape_Area
56,484.7922535,232.7863535,4988.032612,0.169640465,0.009927688,0.012421368,907.631825,393.574851,239.332313,16.79529431,62.34899552,13.65058783,5.669593539,10,2,83,33,21,3000,177500
57,500.3507463,220.106241,5197.739391,0.180672716,0.053749352,0.023145597,908.9656516,390.2416268,451.7926205,17.45619323,135.1313342,17.14493489,5.626373346,4,3,83,44,16,3400,167500
58,490.2346939,140.2348613,5089.256554,0.208154837,-0.052051268,-0.052377367,908.1829473,411.2923005,370.082231,16.90287143,74.53296945,14.00335627,5.724067642,4,3,83,36,14,2800,122500
59,591.6446886,278.5998722,215.8870785,0.115186908,-0.013172128,-0.030061453,944.0056737,543.8821011,353.9029724,23.38504337,153.9955073,24.94120803,5.59068191,4,2,225,29,36,3450,403750
60,541.167735,106.7627991,5185.426868,0.191300281,-0.014901667,-0.000324554,908.6142755,451.9948804,799.2135593,19.71801022,128.5114769,19.47263422,5.660179851,4,3,83,49,42,5300,585000
61,354.9968153,230.2376191,4327.127336,0.224122449,0.005079024,-0.009511995,905.7180259,312.470649,1040.041292,14.93122104,68.51973953,12.21834601,5.768330128,10,2,83,34,18,2800,196250
62,345.0644122,144.9745286,4319.509553,0.263767359,0.007349223,0.00481286,907.6277249,617.645454,1453.334095,16.58206392,61.0818998,13.20984565,5.683377793,10,2,83,41,37,4100,486875
63,337.6648352,284.5127157,4024.800025,0.175204601,-0.000791159,-0.009700979,906.455392,537.2581518,1482.191881,19.3749288,53.48667759,14.17342339,5.477871846,10,2,83,34,28,3250,227500
64,465.4936373,108.3313737,4981.175643,0.182632001,0.014694262,0.029140223,908.5800765,340.1594558,312.9536948,18.44197579,76.45537475,15.8264225,5.688504293,10,2,83,69,89,8600,1192500
65,364.1971429,87.78332854,2754.384717,0.188469962,0.01112093,0.028380873,921.3705265,426.2425162,242.2237621,20.04428323,137.0191315,20.23763192,5.664193862,10,2,225,24,36,3300,218750
66,330.0573529,173.3745442,2869.859987,0.224336577,0.011725773,0.002467852,926.5823019,658.1346848,647.3768559,21.15855011,77.28138119,16.973127,5.434097929,10,3,225,36,41,4200,455000
67,303.5620053,285.8958471,2570.052062,0.115830948,0.048143372,0.034126338,926.4473772,678.6896459,618.4633291,19.66623528,62.0597874,14.85499027,5.477700319,10,2,225,24,32,2950,236875
68,393.972973,132.7764173,4103.430585,0.248821994,-0.013564942,-0.084982103,901.2940182,354.5265839,352.1807001,20.30998008,107.9635672,18.10605862,5.316546453,10,3,225,9,36,2700,115625
69,257.5813953,211.8500208,2493.670115,0.19647258,0.149370181,0.019137615,923.4650808,114.7827954,133.990108,15.92100239,37.49807371,9.466713977,5.504676957,10,3,225,10,9,950,26875
70,535.2334385,90.44836478,5302.745102,0.156825332,-0.010351896,0.017865537,910.1773634,641.9049163,1375.232516,23.40350695,136.164449,22.90052132,5.375019365,4,2,83,39,14,2800,198125
71,548.008547,277.020079,5273.026577,0.125420931,-0.050486621,-0.027509259,909.6420965,772.4028466,1472.361593,25.79906111,144.5649996,24.848637,5.312307158,4,2,83,40,28,3850,292500
72,305.8426966,161.7029168,3872.317525,0.304591126,0.150681677,0.186846141,901.9716207,70.92724874,820.994727,22.33026912,46.29314115,14.74364622,5.320919615,10,3,225,12,15,1400,55625
