FID,Shape_Leng,Shape_Area,Count_,landslide,prob
9416,1400,39375,0,0,0.403063
9417,5100,528125,2,1,0.16413
9418,2150,99375,2,1,0.697635
9419,4850,358750,0,0,0.689136
9420,2900,197500,0,0,0.570014
9421,7800,551250,0,0,0.4492
9422,2100,136250,0,0,0.560219
9423,1650,49375,0,0,0.0833161
9424,3900,449375,0,0,0.246898
9425,3350,190625,0,0,0.725035
9426,1250,23125,0,0,0.0100755
9427,3100,117500,0,0,0.246665
9428,3750,210625,0,0,0.347215
9429,3550,185625,0,0,0.624334
9430,1400,56250,0,0,0.325363
9431,2400,175000,0,0,0.147594
9432,2300,103125,0,0,0.101571
9433,6800,805000,0,0,0.432065
9434,6100,588125,0,0,0.564863
9435,1800,111875,0,0,0.566306
9436,7750,628750,0,0,0.374419
9437,2750,163125,0,0,0.830476
9438,1350,51875,0,0,0.0396272
9439,5650,537500,0,0,0.52369
9440,5050,501875,0,0,0.634471
9441,3400,246250,0,0,0.537153
9442,2350,85000,0,0,0.0515035
9443,5200,470625,0,0,0.228136
9444,5200,515625,0,0,0.430294
9445,3600,113750,0,0,0.279741
9446,900,26250,0,0,0.322137
9447,1600,65000,0,0,0.404535
9448,3450,153125,0,0,0.402576
9449,1850,102500,0,0,0.141559
9450,6300,647500,0,0,0.483249
9451,6600,568750,0,0,0.703204
9452,2650,239375,0,0,0.456042
9453,6250,911875,0,0,0.394045
9454,950,28750,0,0,0.205572
9455,1650,84375,0,0,0.141026
9456,2050,117500,0,0,0.705645
9457,4700,480625,0,0,0.372038
9458,4250,461875,0,0,0.478941
9459,2400,180000,0,0,0.228002
9460,4900,520000,0,0,0.571186
9461,4650,488750,0,0,0.32191
9462,2250,123125,0,0,0.834414
9463,4300,373125,0,0,0.458467
9464,2050,121250,0,0,0.61212
9465,3850,423750,0,0,0.751678
9466,2150,78125,0,0,0.391439
9467,5550,252500,0,0,0.522394
9468,2150,145000,0,0,0.480403
9469,2350,78125,0,0,0.311185
9470,2700,103125,0,0,0.495315
9471,2500,113750,0,0,0.234637
9472,3350,186875,0,0,0.743451
9473,2050,102500,0,0,0.274676
9474,1300,52500,0,0,0.188954
9475,3000,226250,0,0,0.697138
9476,3950,385625,0,0,0.436702
9477,3400,263125,0,0,0.187357
9478,3500,180000,0,0,0.378323
9479,5200,398750,0,0,0.403264
9480,3100,154375,0,0,0.732323
9481,1450,43125,0,0,0.0189184
9482,2200,182500,0,0,0.439797
9483,3500,121250,0,0,0.470357
9484,4100,248125,0,0,0.703843
9485,3700,423125,0,0,0.37215
9486,3350,126875,0,0,0.620987
9487,3600,225000,0,0,0.314241
9488,6450,574375,1,1,0.729788
9489,2400,143750,0,0,0.171641
9490,3300,145625,0,0,0.399256
9491,1300,34375,0,0,0.601079
9492,1100,31250,0,0,0.749227
9493,7050,963750,0,0,0.48378
9494,6000,382500,2,1,0.281026
9495,4350,211250,0,0,0.857511
9496,4200,392500,0,0,0.193077
9497,2350,163125,0,0,0.286338
9498,2300,150625,0,0,0.104711
9499,7050,883125,0,0,0.639601
9500,3400,201875,0,0,0.242669
9501,5250,680000,1,1,0.499847
9502,3800,148125,0,0,0.597088
9503,3350,330000,0,0,0.288562
9504,3200,140000,0,0,0.72928
9505,1400,56250,0,0,0.319243
9506,3150,248125,0,0,0.523986
9507,2650,163750,0,0,0.467238
9508,3100,237500,0,0,0.274204
9509,2600,177500,0,0,0.616744
9510,1150,43750,0,0,0.0606718
9511,6400,592500,0,0,0.372542
9512,2400,162500,0,0,0.3841
9513,4100,316875,0,0,0.29154
9514,1850,83750,0,0,0.316924
9515,2400,92500,0,0,0.494373
9516,650,17500,0,0,0.0985424
9517,3450,254375,0,0,0.623472
9518,2650,160625,0,0,0.696138
9519,900,30000,0,0,0.307041
9520,2700,171875,0,0,0.0597855
9521,6350,620625,0,0,0.697643
9522,4750,426875,1,1,0.741489
9523,4650,363125,0,0,0.696799
9524,3800,273750,0,0,0.604104
9525,2950,248125,0,0,0.62667
9526,1400,66250,0,0,0.636309
9527,1250,21875,0,0,0.258582
9528,2700,67500,0,0,0.686987
9529,1500,41250,0,0,0.239188
9530,950,21250,0,0,0.0776489
9531,4400,215625,0,0,0.429099
9532,3300,147500,0,0,0.4865
9533,1100,31250,0,0,0.309295
9534,5100,249375,0,0,0.803786
9535,3900,326250,0,0,0.251045
9536,1550,74375,0,0,0.0857784
9537,2800,175625,0,0,0.476936
9538,5150,366250,0,0,0.654089
9539,3900,321875,0,0,0.777771
9540,6100,440625,0,0,0.300936
9541,4200,230000,0,0,0.555878
9542,3550,268750,0,0,0.177229
9543,4350,459375,0,0,0.545797
9544,2450,176250,0,0,0.155377
9545,1550,40000,0,0,0.731473
9546,3800,419375,0,0,0.184623
9547,1450,86875,0,0,0.383372
9548,1650,80625,0,0,0.221367
9549,3900,262500,0,0,0.576665
9550,2750,190000,0,0,0.43187
9551,4950,311250,0,0,0.428125
9552,4200,210625,0,0,0.132695
9553,3000,247500,0,0,0.768101
9554,4300,295625,0,0,0.592599
9555,3750,233125,0,0,0.258224
9556,4150,188125,0,0,0.708448
9557,4950,483750,0,0,0.64807
9558,2850,121875,0,0,0.489223
9559,900,23125,0,0,0.322581
9560,4700,297500,0,0,0.7286
9561,1100,38125,0,0,0.247834
9562,4800,351875,0,0,0.556899
9563,2600,251875,0,0,0.148924
9564,5100,428750,0,0,0.836189
9565,2650,186875,0,0,0.839943
9566,5150,616875,0,0,0.421651
9567,2400,97500,0,0,0.320239
9568,6700,551250,1,1,0.358562
9569,5500,621250,0,0,0.734453
9570,1450,33125,0,0,0.0713413
9571,2350,126875,0,0,0.55883
9572,2900,279375,0,0,0.496743
9573,3650,309375,0,0,0.575675
9574,3150,160625,0,0,0.40557
9575,3050,173125,0,0,0.6865
9576,3300,336250,0,0,0.584794
9577,2450,138750,0,0,0.330395
9578,5100,356875,0,0,0.70601
9579,2700,85000,0,0,0.364195
9580,2050,95625,0,0,0.433412
9581,6500,557500,0,0,0.191027
9582,1750,78125,0,0,0.723952
9583,2550,154375,0,0,0.349878
9584,3150,179375,0,0,0.345622
9585,2750,131875,0,0,0.696769
9586,7250,366250,0,0,0.523059
9587,900,25000,0,0,0.366371
9588,3550,427500,0,0,0.240043
9589,3900,376875,0,0,0.412166
9590,3250,143750,0,0,0.822787
9591,3750,215000,0,0,0.741168
9592,950,25625,0,0,0.377531
9593,3850,236875,0,0,0.30736
9594,4500,389375,0,0,0.344344
9595,2750,151875,0,0,0.502421
9596,4050,225000,0,0,0.292887
9597,1650,105000,0,0,0.426188
9598,2200,130000,0,0,0.561853
9599,2000,56875,0,0,0.112561
9600,4050,465000,0,0,0.445905
9601,3050,226250,0,0,0.670234
9602,3100,238125,0,0,0.32747
9603,3300,164375,0,0,0.27755
9604,5100,494375,0,0,0.131485
9605,3050,175625,0,0,0.427452
9606,2650,106875,0,0,0.249079
9607,1600,85000,0,0,0.408095
9608,3600,229375,0,0,0.401785
9609,2500,163750,0,0,0.637435
9610,4000,353750,0,0,0.170185
9611,1000,34375,0,0,0.672022
9612,1300,25000,0,0,0.216025
9613,1150,31250,0,0,0.393285
9614,5100,528125,0,0,0.482791
9615,3850,223750,0,0,0.220287
9616,2400,200625,0,0,0.205402
9617,3700,293750,0,0,0.454088
9618,6050,768125,0,0,0.539392
9619,2100,56875,0,0,0.330476
9620,4500,460625,0,0,0.477306
9621,5450,758125,0,0,0.27401
9622,3350,322500,4,1,0.709446
9623,3000,206875,0,0,0.748277
9624,4650,703125,0,0,0.431391
9625,2300,86250,0,0,0.325056
9626,2050,126250,0,0,0.591
9627,7800,786250,0,0,0.836414
9628,3950,481875,0,0,0.542541
9629,3600,186875,0,0,0.485793
9630,5600,801875,0,0,0.311707
9631,4300,290625,1,1,0.581924
9632,3100,113125,1,1,0.704763
9633,4050,201250,0,0,0.727559
9634,4800,400000,0,0,0.39907
9635,4800,534375,0,0,0.335993
9636,3400,295625,0,0,0.149208
9637,2950,171250,0,0,0.420621
9638,3650,179375,0,0,0.14277
9639,3350,191250,0,0,0.76974
9640,5200,466250,0,0,0.203771
9641,3850,337500,0,0,0.460903
9642,3750,203750,0,0,0.569398
9643,2950,166250,0,0,0.475322
9644,3700,312500,0,0,0.300576
9645,3950,241875,0,0,0.738882
9646,3500,191875,0,0,0.577726
9647,4300,310000,0,0,0.481918
9648,2650,113750,0,0,0.35681
9649,4150,355625,0,0,0.181666
9650,3200,270000,0,0,0.513955
9651,3600,270000,0,0,0.1983
9652,4650,429375,0,0,0.446759
9653,4000,438750,0,0,0.324865
9654,750,16875,0,0,0.0102257
9655,3350,293750,0,0,0.347013
9656,4550,312500,0,0,0.584258
9657,3200,105000,1,1,0.462909
9658,3650,270000,0,0,0.48866
9659,3100,211250,0,0,0.528167
9660,3600,287500,0,0,0.589334
9661,3350,350000,0,0,0.391483
9662,4100,231875,0,0,0.608243
9663,4400,266250,0,0,0.631088
9664,2600,126250,0,0,0.306685
9665,4200,270625,0,0,0.666319
9666,4350,383125,0,0,0.499377
9667,4650,371875,0,0,0.507553
9668,5300,638750,0,0,0.461491
9669,3800,373750,0,0,0.470065
9670,1950,84375,0,0,0.0393523
9671,3800,147500,0,0,0.67723
9672,1400,39375,0,0,0.62312
9673,2650,217500,0,0,0.436906
9674,2150,190625,0,0,0.446108
9675,3600,208750,0,0,0.802658
9676,4150,475625,0,0,0.686839
